"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2023","136.60","142.10","142.50","135.00","2.56M","-3.80%"
"03/31/2023","142.00","145.50","146.40","140.90","1.93M","-3.73%"
"03/30/2023","147.50","146.90","151.40","146.20","2.64M","0.89%"
"03/29/2023","146.20","145.00","147.00","141.10","3.13M","0.83%"
"03/28/2023","145.00","155.60","156.90","143.50","3.36M","-5.78%"
"03/27/2023","153.90","153.00","157.70","149.50","4.17M","0.72%"
"03/24/2023","152.80","154.00","156.50","152.30","2.60M","0.33%"
"03/23/2023","152.30","153.00","156.00","150.60","2.67M","0.59%"
"03/22/2023","151.40","157.00","159.10","150.90","3.72M","-2.95%"
"03/21/2023","156.00","160.90","163.80","155.40","4.50M","-3.05%"
"03/20/2023","160.90","169.40","179.00","160.90","8.29M","-5.35%"
"03/17/2023","170.00","159.30","170.00","158.90","9.55M","7.73%"
"03/16/2023","157.80","146.50","158.90","146.00","5.68M","8.30%"
"03/15/2023","145.70","148.40","151.40","142.50","3.14M","-1.55%"
"03/14/2023","148.00","152.40","154.50","148.00","2.33M","-2.63%"
"03/13/2023","152.00","155.70","159.30","151.00","2.97M","-2.75%"
"03/10/2023","156.30","157.00","160.20","155.50","2.45M","-0.89%"
"03/09/2023","157.70","155.80","161.50","155.60","2.69M","1.22%"
"03/08/2023","155.80","163.20","163.20","155.80","3.36M","-4.59%"
"03/07/2023","163.30","166.70","168.80","162.00","3.99M","-1.69%"
"03/06/2023","166.10","167.70","168.60","163.70","3.27M","2.28%"
"03/03/2023","162.40","168.00","172.90","159.60","4.80M","-3.96%"
"03/02/2023","169.10","166.70","172.00","164.00","5.17M","1.87%"
"03/01/2023","166.00","163.00","167.50","161.00","6.02M","3.11%"
"02/28/2023","161.00","153.10","166.00","153.10","5.67M","3.74%"
"02/27/2023","155.20","155.00","160.60","151.30","4.03M","0.13%"
"02/24/2023","155.00","159.00","166.40","152.00","7.54M","-1.77%"
"02/23/2023","157.80","142.90","157.80","140.70","6.90M","9.97%"
"02/22/2023","143.50","135.40","147.20","134.30","8.02M","5.67%"
"02/21/2023","135.80","137.00","145.50","133.80","4.61M","-1.16%"
"02/20/2023","137.40","135.60","140.40","132.20","2.89M","2.61%"
"02/17/2023","133.90","134.80","139.90","130.90","1.75M","-2.26%"
"02/16/2023","137.00","148.00","148.00","133.70","3.08M","1.11%"
"02/15/2023","135.50","129.00","135.50","129.00","920.70K","22.07%"
"02/08/2023","111.00","119.10","119.60","110.90","132.07K","-9.90%"
"02/07/2023","123.20","136.70","136.70","123.20","1.11M","-9.94%"
"02/06/2023","136.80","138.00","142.20","134.00","597.40K","-5.13%"
"02/03/2023","144.20","137.30","145.20","135.50","781.70K","4.87%"
"02/02/2023","137.50","136.90","141.20","130.00","1.08M","0.51%"
"02/01/2023","136.80","141.90","142.50","135.50","641.55K","-4.34%"
"01/31/2023","143.00","143.50","144.10","138.00","985.07K","-0.69%"
"01/30/2023","144.00","143.00","149.30","140.20","827.37K","0.70%"
"01/27/2023","143.00","143.00","147.50","139.90","895.32K","-2.05%"
"01/26/2023","146.00","146.50","149.00","145.20","1.00M","-3.95%"
"01/25/2023","152.00","150.50","153.70","144.60","1.11M","0.66%"
"01/24/2023","151.00","149.90","155.80","144.40","1.09M","0.13%"
"01/23/2023","150.80","159.60","159.60","146.00","1.67M","-6.63%"
"01/20/2023","161.50","163.00","165.10","160.60","866.35K","-1.88%"
"01/19/2023","164.60","161.30","171.90","154.70","1.75M","1.86%"
"01/18/2023","161.60","166.50","167.30","160.10","1.32M","-2.94%"
"01/17/2023","166.50","160.60","169.00","159.70","1.65M","4.72%"
"01/16/2023","159.00","145.00","159.00","145.00","1.62M","9.66%"
"01/13/2023","145.00","134.00","147.80","132.00","1.15M","7.89%"
"01/12/2023","134.40","133.00","137.00","126.40","1.17M","1.82%"
"01/11/2023","132.00","141.00","144.00","130.00","1.27M","-6.38%"
"01/10/2023","141.00","146.90","146.90","140.00","862.10K","-4.21%"
"01/09/2023","147.20","149.10","153.70","143.10","1.16M","-1.27%"
"01/06/2023","149.10","136.00","149.20","130.00","1.58M","8.83%"
"01/05/2023","137.00","150.20","152.00","135.50","1.50M","-8.67%"
"01/04/2023","150.00","157.40","157.50","149.00","1.37M","-4.76%"
"01/03/2023","157.50","165.10","166.00","157.50","1.24M","-4.43%"
"01/02/2023","164.80","158.30","169.50","153.60","1.68M","4.11%"
"12/30/2022","158.30","153.80","158.30","150.40","1.04M","3.13%"
"12/29/2022","153.50","154.60","156.70","151.00","982.46K","0.13%"
"12/28/2022","153.30","152.00","159.40","148.00","2.18M","3.44%"
"12/27/2022","148.20","152.50","152.50","145.60","1.92M","-3.20%"
"12/26/2022","153.10","161.40","162.50","153.10","2.27M","-8.54%"
"12/23/2022","167.40","168.60","172.10","166.20","1.05M","-3.18%"
"12/22/2022","172.90","175.60","177.40","169.60","1.16M","-0.75%"
"12/21/2022","174.20","173.70","180.30","166.60","1.41M","0.29%"
"12/20/2022","173.70","179.00","180.00","173.70","1.65M","0.52%"
"12/19/2022","172.80","162.50","176.90","155.10","2.19M","6.34%"
"12/16/2022","162.50","167.20","167.80","160.30","1.18M","-2.81%"
"12/15/2022","167.20","167.50","174.60","159.20","1.90M","-0.18%"
"12/14/2022","167.50","182.60","183.80","166.40","2.54M","-8.22%"
"12/13/2022","182.50","189.00","195.20","175.60","2.52M","-3.44%"
"12/12/2022","189.00","205.00","205.20","186.00","3.58M","-0.68%"
"12/09/2022","190.30","190.30","190.30","188.90","1.91M","10.00%"
"12/08/2022","173.00","159.00","173.00","159.00","2.57M","8.87%"
"12/07/2022","158.90","151.20","168.10","143.70","3.66M","2.98%"
"12/06/2022","154.30","131.00","154.30","126.30","5.50M","9.98%"
"12/05/2022","140.30","153.50","153.70","140.30","3.95M","-9.95%"
"12/02/2022","155.80","165.00","166.00","152.00","2.76M","-5.58%"
"12/01/2022","165.00","166.00","174.60","162.70","2.76M","0.79%"
"11/30/2022","163.70","160.20","171.00","156.00","3.66M","-5.16%"
"11/29/2022","172.60","171.00","180.10","166.00","2.31M","-4.11%"
"11/28/2022","180.00","174.40","188.40","157.10","4.95M","3.15%"
"11/25/2022","174.50","184.00","190.00","173.70","3.58M","-9.59%"
"11/24/2022","193.00","211.20","214.20","191.80","17.49M","-8.53%"
"11/23/2022","211.00","223.90","226.90","199.00","17.63M","-0.14%"
"11/22/2022","211.30","198.70","211.30","197.80","5.47M","9.99%"
"11/21/2022","192.10","161.00","192.10","158.00","17.82M","9.96%"
"11/18/2022","174.70","186.00","186.40","174.70","3.32M","-9.99%"
"11/17/2022","194.10","228.00","229.90","194.10","21.88M","-9.97%"
"11/16/2022","215.60","206.80","215.60","204.50","15.52M","10.00%"
"11/15/2022","196.00","189.00","196.00","180.70","10.87M","9.99%"
"11/14/2022","178.20","168.00","178.20","167.10","4.12M","10.00%"
"11/11/2022","162.00","152.00","162.00","148.40","8.62M","9.98%"
"11/10/2022","147.30","155.00","165.40","147.30","10.67M","-2.06%"
"11/09/2022","150.40","138.60","150.40","138.30","9.50M","9.94%"
"11/08/2022","136.80","124.50","136.80","121.60","8.89M","9.97%"
"11/07/2022","124.40","122.30","125.90","120.10","6.99M","2.13%"
